date,close,sma20,sma50,signal,position,market_return,strategy_return,trade,equity_curve
2022-01-31,170.8714141845703,166.06289520263672,166.20866302490234,0,1.0,0.0261259068676456,0.0261259068676456,0.0,1.8213301182756108
2022-02-01,170.70523071289062,165.7011688232422,166.53597686767577,0,0.0,-0.0009725645010474349,-0.0005,1.0,1.820419453216473
2022-02-02,171.90769958496094,165.51248474121093,166.83493835449218,0,0.0,0.007044124348437597,0.0,0.0,1.820419453216473
2022-02-03,169.03346252441406,165.41374435424805,167.06722473144532,0,0.0,-0.016719652857237866,-0.0,0.0,1.820419453216473
2022-02-04,168.74957275390625,165.44354400634765,167.28620819091796,0,0.0,-0.001679488583314126,-0.0,0.0,1.820419453216473
2022-02-07,168.0349884033203,165.42930450439454,167.48053680419923,0,0.0,-0.004234584650641082,-0.0,0.0,1.820419453216473
2022-02-08,171.1380615234375,165.56924285888672,167.83723266601564,0,0.0,0.018466827353057713,0.0,0.0,1.820419453216473
2022-02-09,172.5574493408203,165.6388801574707,168.15525115966796,0,0.0,0.008293817311869178,0.0,0.0,1.820419453216473
2022-02-10,168.48524475097656,165.48291244506837,168.29288848876953,0,0.0,-0.0235991236854729,-0.0,0.0,1.820419453216473
2022-02-11,165.07876586914062,165.31988601684571,168.3727584838867,0,0.0,-0.020218262358052574,-0.0,0.0,1.820419453216473
2022-02-14,165.313720703125,165.12559127807617,168.47707580566407,0,0.0,0.0014232892567820343,0.0,0.0,1.820419453216473
2022-02-15,169.14112854003906,165.28250885009766,168.6954830932617,0,0.0,0.023152390622115604,0.0,0.0,1.820419453216473
2022-02-16,168.90621948242188,165.60218887329103,168.84114807128907,0,0.0,-0.0013888346355781511,-0.0,0.0,1.820419453216473
2022-02-17,165.313720703125,165.82632064819336,168.80038452148438,0,0.0,-0.021269191805401544,-0.0,0.0,1.820419453216473
2022-02-18,163.76708984375,166.0757743835449,168.65243225097657,0,0.0,-0.009355731954956648,-0.0,0.0,1.820419453216473
2022-02-22,160.85000610351562,166.21798858642578,168.45630584716798,0,0.0,-0.017812392850221404,-0.0,0.0,1.820419453216473
2022-02-23,156.6897430419922,166.24213485717775,168.08136169433592,0,0.0,-0.025864239376192977,-0.0,0.0,1.820419453216473
2022-02-24,159.30337524414062,166.40136032104493,167.83123016357422,0,0.0,0.016680301795172436,0.0,0.0,1.820419453216473
2022-02-25,161.3688507080078,166.68683242797852,167.6499771118164,0,0.0,0.01296567295389539,0.0,0.0,1.820419453216473
2022-02-28,161.6331024169922,166.44244232177735,167.37683288574217,0,0.0,0.0016375633080669694,0.0,0.0,1.820419453216473
2022-03-01,159.7536163330078,165.8865524291992,167.2037503051758,0,0.0,-0.01162810127306435,-0.0,0.0,1.820419453216473
2022-03-02,163.04269409179688,165.50342559814453,167.11834747314452,0,0.0,0.02058844008847327,0.0,0.0,1.820419453216473
2022-03-03,162.7196502685547,165.0440231323242,167.0536624145508,0,0.0,-0.0019813449786367787,-0.0,0.0,1.820419453216473
2022-03-04,159.72427368164062,164.57856369018555,166.86571899414062,0,0.0,-0.01840820442995328,-0.0,0.0,1.820419453216473
2022-03-07,155.93601989746094,163.9378860473633,166.55019500732422,0,0.0,-0.02371745819755844,-0.0,0.0,1.820419453216473
2022-03-08,154.11524963378906,163.2418991088867,166.18574279785156,0,0.0,-0.011676393080118141,-0.0,0.0,1.820419453216473
2022-03-09,159.5089111328125,162.66044158935546,165.84997467041015,0,0.0,0.03499758467666192,0.0,0.0,1.820419453216473
2022-03-10,155.17251586914062,161.79119491577148,165.44781463623048,0,0.0,-0.02718591226581224,-0.0,0.0,1.820419453216473
2022-03-11,151.46249389648438,160.94005737304687,164.96969360351562,0,0.0,-0.023909014762543146,-0.0,0.0,1.820419453216473
2022-03-14,147.4393310546875,160.0580856323242,164.43418243408203,0,0.0,-0.026562106157755894,-0.0,0.0,1.820419453216473
2022-03-15,151.81491088867188,159.38314514160157,163.99850006103514,0,0.0,0.029677154682432816,0.0,0.0,1.820419453216473
2022-03-16,156.21987915039062,158.73708267211913,163.56410247802734,0,0.0,0.029015386143123933,0.0,0.0,1.820419453216473
2022-03-17,157.22816467285156,158.15317993164064,163.19503814697265,0,0.0,0.0064542715558644215,0.0,0.0,1.820419453216473
2022-03-18,160.51715087890625,157.9133514404297,162.98521575927734,0,0.0,0.020918556245302256,0.0,0.0,1.820419453216473
2022-03-21,161.88760375976562,157.81937713623046,162.85989624023438,0,0.0,0.008537734898454774,0.0,0.0,1.820419453216473
2022-03-22,165.25497436523438,158.0396255493164,162.7986001586914,0,0.0,0.02080066989233953,0.0,0.0,1.820419453216473
2022-03-23,166.61566162109375,158.5359214782715,162.7641275024414,0,0.0,0.008233865643596738,0.0,0.0,1.820419453216473
2022-03-24,170.39410400390625,159.09045791625977,162.74871551513672,0,0.0,0.022677594327267903,0.0,0.0,1.820419453216473
2022-03-25,171.03038024902344,159.57353439331055,162.7372311401367,0,0.0,0.003734144727816302,0.0,0.0,1.820419453216473
2022-03-28,171.8917999267578,160.08646926879882,162.80828125,0,0.0,0.005036647152863338,0.0,0.0,1.820419453216473
2022-03-29,175.1808624267578,160.85783157348632,162.92790618896484,0,0.0,0.01913449333476902,0.0,0.0,1.820419453216473
2022-03-30,174.0159912109375,161.40649642944337,163.0881704711914,0,0.0,-0.006649534656260392,-0.0,0.0,1.820419453216473
2022-03-31,170.92271423339844,161.81664962768554,163.25637237548827,0,0.0,-0.017775820233609907,-0.0,0.0,1.820419453216473
2022-04-01,170.62905883789062,162.36188888549805,163.45233184814452,0,0.0,-0.0017180595149385303,-0.0,0.0,1.820419453216473
2022-04-04,174.67181396484375,163.29867858886718,163.77020782470703,0,0.0,0.023693239325629945,0.0,0.0,1.820419453216473
2022-04-05,171.36317443847656,164.16107482910155,164.0373568725586,1,0.0,-0.018942034500386673,-0.0,0.0,1.820419453216473
2022-04-06,168.20138549804688,164.59569854736327,164.27724822998047,1,1.0,-0.01845080747827088,-0.01895080747827088,1.0,1.7859210346288683
2022-04-07,168.50486755371094,165.2623161315918,164.52496826171875,1,1.0,0.001804277977648372,0.001804277977648372,0.0,1.789143332621468
2022-04-08,166.49818420410156,166.01410064697265,164.74174377441406,1,1.0,-0.011908755982789287,-0.011908755982789287,0.0,1.7678368612550446
2022-04-11,162.24981689453125,166.75462493896484,164.65632202148439,1,1.0,-0.025515997846333627,-0.025515997846333627,0.0,1.7227287397105917
2022-04-12,164.1194610595703,167.36985244750977,164.5212829589844,1,1.0,0.011523243605596312,0.011523243605596312,0.0,1.7425801626446387
2022-04-13,166.80157470703125,167.8989372253418,164.44320983886718,1,1.0,0.01634244732553336,0.01634244732553336,0.0,1.771058187163178
2022-04-14,161.7994842529297,168.12750320434571,164.24104553222656,1,1.0,-0.02998826877316474,-0.02998826877316474,0.0,1.7179472182336148
2022-04-18,161.58416748046875,168.18085403442382,164.09205963134767,1,1.0,-0.0013307630333626586,-0.0013307630333626586,0.0,1.7156610375823214
2022-04-19,163.86495971679688,168.27972183227538,163.99436737060546,1,1.0,0.014115196258964069,0.014115196258964069,0.0,1.7398779298416538
2022-04-20,163.6985321044922,168.20189971923827,163.9076382446289,1,1.0,-0.0010156388076640877,-0.0010156388076640877,0.0,1.7381108422955083
2022-04-21,162.9056396484375,168.01639862060546,163.7429898071289,1,1.0,-0.004843613720058038,-0.004843613720058038,0.0,1.729692104772784
2022-04-22,158.37339782714844,167.41536331176758,163.45930877685547,1,1.0,-0.02782127022164471,-0.02782127022164471,0.0,1.681569873325655
2022-04-25,159.44041442871094,166.83586502075195,163.27841217041015,1,1.0,0.006737347409361494,0.006737347409361494,0.0,1.692899193755366
2022-04-26,153.48880004882812,165.91571502685548,163.0466128540039,1,1.0,-0.03732814168357479,-0.03732814168357479,0.0,1.6297064127948562
2022-04-27,153.26365661621094,164.81985473632812,162.80561157226563,1,1.0,-0.0014668394863049938,-0.0014668394863049938,0.0,1.6273158950774842
2022-04-28,160.1843719482422,164.12827377319337,162.62647644042968,1,1.0,0.045155619308767214,0.045155619308767214,0.0,1.7007983521307088
2022-04-29,154.32083129882812,163.29817962646484,162.33476867675782,1,1.0,-0.036604948273659677,-0.036604948273659677,0.0,1.6385407164270387
2022-05-02,154.62432861328125,162.49794311523436,162.12098083496093,1,1.0,0.0019666645902485236,0.0019666645902485236,0.0,1.6417631764337162
2022-05-03,156.1121826171875,161.56996154785156,161.9678826904297,0,1.0,0.009622379720253482,0.009622379720253482,0.0,1.657560845128091
2022-05-04,162.51409912109375,161.12750778198242,162.00116455078125,0,0.0,0.041008436347371946,-0.0005,1.0,1.656732064705527
2022-05-05,153.45945739746094,160.39041137695312,161.93655883789063,0,0.0,-0.05571603800902192,-0.0,0.0,1.656732064705527
2022-05-06,154.1848602294922,159.67441101074218,161.83418853759767,0,0.0,0.004726999849559377,0.0,0.0,1.656732064705527
2022-05-09,149.06761169433594,158.8028823852539,161.58816375732422,0,0.0,-0.033189046755561,-0.0,0.0,1.656732064705527
2022-05-10,151.46939086914062,158.26386108398438,161.38488952636717,0,0.0,0.016112012176927815,0.0,0.0,1.656732064705527
2022-05-11,143.6170196533203,157.23873901367188,161.06215759277345,0,0.0,-0.0518413071496685,-0.0,0.0,1.656732064705527
2022-05-12,139.75454711914062,155.88638763427736,160.59639465332032,0,0.0,-0.02689425350493546,-0.0,0.0,1.656732064705527
2022-05-13,144.2150115966797,155.00716400146484,160.2263018798828,0,0.0,0.03191641752977459,0.0,0.0,1.656732064705527
2022-05-16,142.6758575439453,154.06174850463867,159.88533355712892,0,0.0,-0.0106726341155029,-0.0,0.0,1.656732064705527
2022-05-17,146.30311584472656,153.18365631103515,159.6926754760742,0,0.0,0.02542306990980614,0.0,0.0,1.656732064705527
2022-05-18,138.04876708984375,151.90116806030272,159.3713458251953,0,0.0,-0.05641950075515312,-0.0,0.0,1.656732064705527
2022-05-19,134.64706420898438,150.48823928833008,158.87410888671874,0,0.0,-0.024641313012563892,-0.0,0.0,1.656732064705527
2022-05-20,134.8823699951172,149.3136878967285,158.4683059692383,0,0.0,0.0017475745759119032,0.0,0.0,1.656732064705527
2022-05-23,140.29373168945312,148.35635375976562,158.24493072509765,0,0.0,0.04011911782490052,0.0,0.0,1.656732064705527
2022-05-24,137.5978546142578,147.56180648803712,158.04810119628905,0,0.0,-0.019215948159129193,-0.0,0.0,1.656732064705527
2022-05-25,137.7546844482422,146.78635787963867,157.76689666748047,0,0.0,0.0011397694711450246,0.0,0.0,1.656732064705527
2022-05-26,140.9505157470703,145.82466506958008,157.46150939941407,0,0.0,0.023199438274121853,0.0,0.0,1.656732064705527
2022-05-27,146.69528198242188,145.44338760375976,157.25085174560547,0,0.0,0.04075732681716682,0.0,0.0,1.656732064705527
2022-05-31,145.9109649658203,145.00771942138672,156.95872802734374,0,0.0,-0.005346572882252265,-0.0,0.0,1.656732064705527
2022-06-01,145.78353881835938,144.4912872314453,156.63664672851561,0,0.0,-0.0008733144043752139,-0.0,0.0,1.656732064705527
2022-06-02,148.2343292236328,143.77729873657228,156.2962338256836,0,0.0,0.016811160060581587,0.0,0.0,1.656732064705527
2022-06-03,142.51905822753906,143.23027877807618,155.8143017578125,0,0.0,-0.03855565054348131,-0.0,0.0,1.656732064705527
2022-06-06,143.26409912109375,142.68424072265626,155.27170166015625,0,0.0,0.005227657990590995,0.0,0.0,1.656732064705527
2022-06-07,145.78353881835938,142.52003707885743,154.76676483154296,0,0.0,0.01758598080553364,0.0,0.0,1.656732064705527
2022-06-08,145.0482940673828,142.19898223876953,154.22989471435548,0,0.0,-0.00504340035189188,-0.0,0.0,1.656732064705527
2022-06-09,139.83297729492188,142.0097801208496,153.52293701171874,0,0.0,-0.0359557263737148,-0.0,0.0,1.656732064705527
2022-06-10,134.431396484375,141.74362258911134,152.7312451171875,0,0.0,-0.038628804986068466,-0.0,0.0,1.656732064705527
2022-06-13,129.28472900390625,140.99710845947266,151.89848541259767,0,0.0,-0.03828471335613137,-0.0,0.0,1.656732064705527
2022-06-14,130.1473846435547,140.3706848144531,151.08885192871094,0,0.0,0.006672525411894448,0.0,0.0,1.656732064705527
2022-06-15,132.76486206054688,139.69377212524415,150.250712890625,0,0.0,0.020111640538616138,0.0,0.0,1.656732064705527
2022-06-16,127.50053405761719,139.1663604736328,149.3734600830078,0,0.0,-0.039651515628652656,-0.0,0.0,1.656732064705527
2022-06-17,128.9709930419922,138.8825569152832,148.5888522338867,0,0.0,0.011532963334180968,0.0,0.0,1.656732064705527
2022-06-21,133.19619750976562,138.79824829101562,147.88267883300782,0,0.0,0.032760889624209755,0.0,0.0,1.656732064705527
2022-06-22,132.6864471435547,138.4178840637207,147.20644409179687,0,0.0,-0.003827063953335208,-0.0,0.0,1.656732064705527
2022-06-23,135.54896545410156,138.3154396057129,146.67242706298828,0,0.0,0.021573554588057542,0.0,0.0,1.656732064705527
2022-06-24,138.87228393554688,138.37131958007814,146.1674835205078,0,0.0,0.024517475808921718,0.0,0.0,1.656732064705527
2022-06-27,138.87228393554688,138.26740798950195,145.60889770507814,0,0.0,0.0,0.0,0.0,1.656732064705527
2022-06-28,134.73532104492188,137.66940994262694,145.06761444091796,0,0.0,-0.029789694339188988,-0.0,0.0,1.656732064705527
2022-06-29,136.49009704589844,137.19836654663087,144.56573303222658,0,0.0,0.013023875160333764,0.0,0.0,1.656732064705527
2022-06-30,134.0294647216797,136.61066284179688,143.96902313232422,0,0.0,-0.018027918343345384,-0.0,0.0,1.656732064705527
2022-07-01,136.19595336914062,136.00874404907228,143.4189715576172,0,0.0,0.016164271430612498,0.0,0.0,1.656732064705527
2022-07-05,138.7742462158203,135.82150344848634,142.93634368896485,0,0.0,0.01893075956296264,0.0,0.0,1.656732064705527
2022-07-06,140.10743713378906,135.6636703491211,142.57102447509766,0,0.0,0.009606904410025763,0.0,0.0,1.656732064705527
2022-07-07,143.46998596191406,135.54799270629883,142.25161590576172,0,0.0,0.02399978828328786,0.0,0.0,1.656732064705527
2022-07-08,144.14634704589844,135.5028953552246,142.06476684570313,0,0.0,0.004714303688326371,0.0,0.0,1.656732064705527
2022-07-11,142.0191192626953,135.6122024536133,141.8398760986328,0,0.0,-0.014757417213811075,-0.0,0.0,1.656732064705527
2022-07-12,142.9896240234375,136.0401138305664,141.4959811401367,0,0.0,0.0068336204715298,0.0,0.0,1.656732064705527
2022-07-13,142.62689208984375,136.70722198486328,141.26210235595704,0,0.0,-0.002536771014477912,-0.0,0.0,1.656732064705527
2022-07-14,145.54820251464844,137.47726287841797,141.0805798339844,0,0.0,0.020482185245714435,0.0,0.0,1.656732064705527
2022-07-15,147.21478271484375,138.19975891113282,140.9026318359375,0,0.0,0.011450366073930685,0.0,0.0,1.656732064705527
2022-07-18,144.17579650878906,139.0335220336914,140.5358657836914,0,0.0,-0.020643213609473077,-0.0,0.0,1.656732064705527
2022-07-19,148.02845764160156,139.98639526367188,140.42724578857423,0,0.0,0.02672196877773203,0.0,0.0,1.656732064705527
2022-07-20,150.02828979492188,140.8279998779297,140.34411437988283,1,0.0,0.013509781735091764,0.0,0.0,1.656732064705527
2022-07-21,152.2928466796875,141.80831985473634,140.40861907958984,1,1.0,0.015094199153113719,0.014594199153113718,1.0,1.6809107424011889
2022-07-22,151.05763244628906,142.5837532043457,140.40038391113282,1,1.0,-0.00811078301002821,-0.00811078301002821,0.0,1.6672772401103475
2022-07-25,149.94009399414062,143.13714370727538,140.52684539794922,1,1.0,-0.00739809325785501,-0.00739809325785501,0.0,1.654942567601312
2022-07-26,148.61663818359375,143.62436141967774,140.7040872192383,1,1.0,-0.008826563831543233,-0.008826563831543233,0.0,1.640335111390841
2022-07-27,153.7045135498047,144.57282104492188,140.8938772583008,1,1.0,0.034234897440794,0.034234897440794,0.0,1.69649181569784
2022-07-28,154.2534942626953,145.46099090576172,141.12542999267578,1,1.0,0.003571662927860153,0.003571662927860153,0.0,1.702551112623386
2022-07-29,159.31195068359375,146.72511520385743,141.3856066894531,1,1.0,0.0327931399225474,0.0327931399225474,0.0,1.7583831094849336
2022-08-01,158.33163452148438,147.8318992614746,141.79126403808593,1,1.0,-0.006153437691917785,-0.006153437691917785,0.0,1.7475630085821974
2022-08-02,156.8611602783203,148.73624496459962,142.23554595947266,1,1.0,-0.009287305392937983,-0.009287305392937983,0.0,1.731332857228093
2022-08-03,162.8607177734375,149.87390899658203,142.79511291503906,1,1.0,0.038247565455158616,0.038247565455158616,0.0,1.7975521240095913
2022-08-04,162.5469970703125,150.82775955200196,143.24017822265625,1,1.0,-0.001926312909669381,-0.001926312909669381,0.0,1.794089476147308
2022-08-05,162.32125854492188,151.73650512695312,143.73464630126952,1,1.0,-0.0013887585095957444,-0.0013887585095957444,0.0,1.7915979191203324
2022-08-08,161.84999084472656,152.7280487060547,144.21655242919923,1,1.0,-0.0029033024042558475,-0.0029033024042558475,0.0,1.7863963685742905
2022-08-09,161.8990936279297,153.67352218627929,144.6355239868164,1,1.0,0.000303384528765438,0.000303384528765438,0.0,1.7869383335947586
2022-08-10,166.1399688720703,154.84917602539062,145.02441772460938,1,1.0,0.026194558283858305,0.026194558283858305,0.0,1.8337463939237673
2022-08-11,165.4036865234375,155.8419502258301,145.41427215576172,1,1.0,-0.004431699088614627,-0.004431699088614627,0.0,1.8256197817010649
2022-08-12,168.9475860595703,156.9285903930664,145.87755310058594,1,1.0,0.021425759066323158,0.021425759066323158,0.0,1.8647350712905053
2022-08-15,170.01759338378906,158.2206802368164,146.31321838378906,1,1.0,0.006333368526742156,0.006333368526742156,0.0,1.876545125701729
2022-08-16,169.86053466796875,159.31228408813476,146.86004791259765,1,1.0,-0.0009237791965786002,-0.0009237791965786002,0.0,1.8748116123531646
2022-08-17,171.3527069091797,160.37850494384764,147.42182006835938,1,1.0,0.00878469059412601,0.00878469059412601,0.0,1.8912812522899616
2022-08-18,170.96002197265625,161.3118637084961,147.92534973144532,1,1.0,-0.002291676295090972,-0.002291676295090972,0.0,1.8869470478767387
2022-08-19,168.37820434570312,162.1778923034668,148.3919479370117,1,1.0,-0.015101879358474068,-0.015101879358474068,0.0,1.8584506012038755
2022-08-22,164.5006103515625,162.9059181213379,148.88530059814454,1,1.0,-0.02302907320581349,-0.02302907320581349,0.0,1.8156522062593634
2022-08-23,164.1667938232422,163.6834259033203,149.48000854492187,1,1.0,-0.002029272278120442,-0.002029272278120442,0.0,1.811967753570493
2022-08-24,164.4612579345703,164.22126312255858,150.18353912353516,1,1.0,0.001793688628926926,0.001793688628926926,0.0,1.8152178595260546
2022-08-25,166.91551208496094,164.85436401367187,150.9189016723633,1,1.0,0.014922992692704806,0.014922992692704806,0.0,1.8423063423794293
2022-08-26,160.62290954589844,164.9199119567871,151.47606262207032,1,1.0,-0.037699327404989935,-0.037699327404989935,0.0,1.7728526323977776
2022-08-29,158.42396545410156,164.92452850341797,152.09453125,1,1.0,-0.013690102476748622,-0.013690102476748622,0.0,1.7485820981840785
2022-08-30,155.99917602539062,164.88142929077148,152.63509490966797,1,1.0,-0.015305698363000775,-0.015305698363000775,0.0,1.72181882802633
2022-08-31,154.3401336669922,164.4554000854492,153.0579736328125,1,1.0,-0.010634943085394255,-0.010634943085394255,0.0,1.7035073827869098
2022-09-01,155.06658935546875,164.08137969970704,153.5055764770508,1,1.0,0.00470684890064943,0.00470684890064943,0.0,1.7115255346388285
2022-09-02,152.95596313476562,163.6131149291992,153.85371643066406,1,1.0,-0.013611095913542037,-0.013611095913542037,0.0,1.688229796428383
2022-09-06,151.69943237304688,163.10558700561523,154.11025939941408,1,1.0,-0.008214983816038912,-0.008214983816038912,0.0,1.6743610159729692
2022-09-07,153.10324096679688,162.6657943725586,154.39487854003906,1,1.0,0.009253881651302809,0.009253881651302809,0.0,1.6898553546563382
2022-09-08,151.63070678710938,161.94033126831056,154.73278625488283,1,1.0,-0.009617916448985242,-0.009617916448985242,0.0,1.6736024670443832
2022-09-09,154.48741149902344,161.39451751708984,155.09273254394532,1,1.0,0.018839882583445933,0.018839882583445933,0.0,1.7051329410148648
2022-09-12,160.4364013671875,160.9689582824707,155.62087127685547,1,1.0,0.038507926376911694,0.038507926376911694,0.0,1.7707940747703121
2022-09-13,151.0220489501953,160.01918106079103,155.91739318847655,1,1.0,-0.05867965335027525,-0.05867965335027525,0.0,1.6668844923080688
2022-09-14,152.46511840820312,159.14941024780273,156.1912106323242,1,1.0,0.009555356108853497,0.009555356108853497,0.0,1.6828121672243979
